warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-B,Monitor,Supplier-X,858.0,421,2024-10-27,5154.94
WH-D,Mouse,Supplier-V,964.0,203,2024-07-28,1807.72
WH-E,Router,Supplier-Y,485.0,294,2024-09-30,2099.89
WH-A,Router,Supplier-X,811.0,398,2024-08-31,3987.11
WH-E,Keyboard,Supplier-Z,13.0,109,2024-09-07,3850.73
WH-A,Mouse,Supplier-W,326.0,289,2025-06-17,3003.79
WH-D,Mobile,Supplier-X,24.0,478,2024-10-18,581.78
WH-A,Router,Supplier-X,449.0,337,2025-12-22,1346.44
WH-D,Keyboard,Supplier-W,702.0,374,2026-01-30,4441.6
WH-C,Tablet,Supplier-V,818.0,394,2026-06-02,4114.82
WH-C,Mobile,,,73,2025-03-16,
WH-D,Tablet,Supplier-Y,360.0,91,2026-05-29,2945.57
WH-A,Laptop,Supplier-V,354.0,29,2026-02-09,3174.26
WH-C,Keyboard,Supplier-V,24.0,157,2025-01-27,1667.84
WH-D,Keyboard,Supplier-V,619.0,21,2024-10-22,4502.16
WH-A,Tablet,Supplier-Z,27.0,455,2024-09-24,555.87
WH-D,Monitor,Supplier-Z,315.0,225,2025-03-29,4295.54
WH-A,Mobile,Supplier-V,83.0,426,2025-03-14,4816.25
WH-E,Laptop,Supplier-W,224.0,123,2025-07-02,4493.1
WH-E,Router,Supplier-W,402.0,395,2026-06-07,4831.22
WH-A,Laptop,Supplier-X,375.0,101,2026-03-09,1611.31
WH-D,Mobile,Supplier-V,221.0,175,2025-04-19,4515.16
WH-C,Laptop,Supplier-W,608.0,52,2025-12-24,2557.66
WH-B,Keyboard,Supplier-X,542.0,221,2025-09-29,2878.59
WH-B,Printer,Supplier-W,801.0,244,2025-06-14,984.08
WH-E,Monitor,Supplier-W,802.0,51,2025-11-13,4878.64
WH-C,Mobile,Supplier-X,828.0,306,2026-02-22,2191.02
WH-D,Tablet,Supplier-Z,809.0,106,2026-04-05,5174.6
WH-E,Monitor,Supplier-Z,72.0,110,2025-11-05,1157.16
WH-C,Mobile,Supplier-Z,762.0,323,2026-06-17,4595.86
WH-C,Mobile,Supplier-Z,562.0,183,2026-06-08,4849.42
WH-B,Router,Supplier-Y,208.0,72,2024-08-19,2866.78
WH-E,Mobile,Supplier-X,378.0,275,2025-03-16,4715.31
WH-B,Tablet,Supplier-V,314.0,44,2024-12-11,4794.27
WH-E,Router,Supplier-V,733.0,156,2025-09-17,894.42
WH-E,Tablet,Supplier-W,268.0,360,2024-08-19,4763.83
WH-D,Printer,Supplier-V,735.0,130,2024-12-26,1668.77
WH-B,Tablet,Supplier-Z,507.0,446,2025-02-24,4669.86
WH-A,Mouse,Supplier-Z,663.0,137,2025-04-08,4564.19
WH-B,Mobile,Supplier-Z,180.0,210,2026-06-21,2853.84
WH-A,Keyboard,Supplier-W,765.0,341,2024-07-20,3089.29
WH-C,Mobile,Supplier-W,239.0,55,2026-05-31,3331.83
WH-C,Keyboard,Supplier-Z,695.0,301,2025-01-12,1186.81
WH-A,Monitor,Supplier-Z,879.0,266,2024-07-16,5064.59
WH-C,Keyboard,Supplier-Y,131.0,465,2024-08-02,1898.86
WH-C,Keyboard,Supplier-Z,178.0,88,2024-09-22,1438.64
WH-E,Tablet,Supplier-X,393.0,197,2025-03-10,3081.21
WH-D,Laptop,Supplier-X,302.0,465,2025-04-04,3570.51
WH-B,Keyboard,Supplier-Y,644.0,166,2026-06-13,4582.28
WH-E,Printer,Supplier-X,138.0,188,2025-04-26,4722.76
WH-B,Tablet,Supplier-W,171.0,263,2024-07-19,3495.07
WH-A,Keyboard,Supplier-X,102.0,323,2024-10-23,639.32
WH-B,Mobile,Supplier-Z,383.0,171,2024-11-05,2578.53
WH-D,Keyboard,Supplier-Z,63.0,39,2025-01-31,772.19
WH-D,Monitor,Supplier-X,256.0,492,2025-03-10,943.37
WH-B,Mouse,Supplier-Z,43.0,112,2024-12-19,4030.01
WH-B,Printer,Supplier-Y,416.0,316,2024-11-13,998.44
WH-A,Tablet,Supplier-V,423.0,455,2025-02-24,2717.64
WH-B,Mouse,,,495,2024-10-19,
WH-A,Monitor,Supplier-Z,734.0,317,2025-05-09,1504.38
WH-B,Laptop,Supplier-Z,36.0,203,2024-08-28,5004.3
WH-D,Printer,Supplier-Y,911.0,467,2025-12-19,1005.95
WH-C,Tablet,Supplier-V,601.0,290,2026-02-23,3760.28
WH-A,Mouse,Supplier-X,951.0,341,2025-08-10,3531.38
WH-E,Printer,Supplier-X,466.0,302,2026-04-25,2474.11
WH-D,Printer,Supplier-Z,654.0,336,2025-10-09,3276.86
WH-D,Mobile,Supplier-W,287.0,166,2024-07-27,2741.67
WH-C,Tablet,Supplier-W,228.0,375,2026-05-06,801.66
WH-A,Monitor,Supplier-Z,519.0,397,2026-05-17,4896.4
WH-A,Printer,Supplier-Y,61.0,132,2024-10-11,4207.94
WH-A,Mobile,Supplier-Y,292.0,492,2026-06-13,3421.17
WH-A,Mobile,Supplier-W,325.0,21,2025-11-24,4608.37
WH-D,Laptop,Supplier-Y,922.0,35,2025-03-01,2935.31
WH-C,Tablet,Supplier-Z,221.0,430,2026-06-27,3584.82
WH-C,Tablet,Supplier-Y,300.0,48,2026-01-14,3968.49
WH-B,Monitor,Supplier-Y,829.0,361,2025-10-30,4257.77
WH-E,Mouse,Supplier-Y,77.0,70,2024-10-19,607.63
WH-A,Router,Supplier-X,664.0,40,2025-05-20,3999.14
WH-B,Monitor,Supplier-Y,984.0,41,2026-01-30,2453.23
WH-C,Laptop,Supplier-W,432.0,499,2025-04-27,1670.2
WH-D,Keyboard,Supplier-V,146.0,219,2025-03-10,817.89
WH-B,Router,Supplier-V,308.0,230,2024-09-09,4692.61
WH-E,Monitor,,,368,2026-06-22,
WH-C,Laptop,Supplier-X,703.0,81,2025-11-04,2266.0
WH-B,Monitor,Supplier-Y,211.0,104,2025-07-25,2718.24
WH-C,Tablet,Supplier-X,769.0,262,2025-09-21,1843.08
WH-D,Laptop,Supplier-V,323.0,487,2025-03-30,2095.16
WH-C,Tablet,Supplier-X,783.0,328,2024-08-23,3142.45
WH-C,Tablet,Supplier-Z,373.0,64,2026-05-21,1610.64
WH-A,Printer,Supplier-V,647.0,24,2025-09-17,5296.7
WH-C,Keyboard,Supplier-Y,551.0,320,2025-01-07,3495.97
WH-E,Monitor,Supplier-Z,829.0,30,2026-06-01,2948.77
WH-A,Printer,Supplier-Z,61.0,246,2024-12-24,4179.7
WH-E,Laptop,Supplier-Z,671.0,479,2025-12-22,4954.45
WH-D,Printer,Supplier-X,670.0,267,2026-06-14,1070.96
WH-A,Monitor,Supplier-V,498.0,179,2026-03-12,3230.93
WH-B,Tablet,Supplier-W,510.0,69,2024-07-28,4117.84
WH-B,Printer,Supplier-Z,921.0,234,2025-02-14,2458.31
WH-D,Router,,,124,2026-02-19,
WH-D,Printer,Supplier-V,952.0,357,2026-04-11,4747.51
WH-A,Keyboard,Supplier-W,452.0,50,2025-05-14,2873.32
WH-A,Mouse,,,166,2025-12-13,
WH-E,Keyboard,Supplier-W,835.0,464,2026-03-19,5271.89
WH-E,Mobile,Supplier-Y,655.0,418,2025-12-17,1497.89
WH-B,Tablet,Supplier-Z,540.0,260,2025-04-13,1623.34
WH-B,Mouse,Supplier-V,934.0,447,2025-01-20,3284.44
WH-D,Laptop,Supplier-W,471.0,278,2025-09-13,4269.49
WH-D,Mouse,Supplier-X,473.0,270,2025-07-19,1633.6
WH-E,Tablet,Supplier-Z,92.0,308,2025-07-13,1013.44
WH-C,Tablet,Supplier-W,756.0,287,2025-07-08,2701.89
WH-A,Mouse,Supplier-X,237.0,149,2026-06-15,2587.59
WH-B,Tablet,Supplier-V,10.0,327,2025-11-25,4088.55
WH-E,Mobile,Supplier-Z,626.0,133,2024-09-16,2245.25
WH-C,Laptop,Supplier-W,995.0,415,2026-05-16,4703.33
WH-C,Printer,Supplier-Y,554.0,446,2025-12-22,3338.76
WH-C,Mobile,Supplier-Y,257.0,360,2024-08-26,2544.47
WH-E,Monitor,Supplier-W,461.0,19,2025-06-08,2163.61
WH-D,Router,Supplier-W,193.0,467,2025-06-06,2407.16
WH-E,Printer,Supplier-Y,74.0,316,2024-11-07,1119.88
WH-B,Tablet,Supplier-V,871.0,465,2025-04-20,2050.97
WH-C,Tablet,Supplier-W,487.0,109,2026-04-10,3217.91
WH-E,Keyboard,Supplier-W,784.0,40,2024-09-04,2591.36
WH-E,Monitor,Supplier-V,24.0,168,2026-02-14,4231.52
WH-A,Router,Supplier-Y,995.0,12,2026-05-21,4470.83
WH-D,Tablet,Supplier-V,665.0,216,2026-05-14,1100.38
WH-D,Printer,Supplier-X,949.0,406,2024-10-28,5131.9
WH-E,Monitor,Supplier-W,909.0,166,2025-01-14,1117.78
WH-E,Tablet,Supplier-Y,454.0,403,2025-06-20,5010.36
WH-A,Laptop,Supplier-Z,178.0,423,2025-08-16,1698.97
WH-A,Monitor,Supplier-W,320.0,443,2025-06-30,1153.8
WH-C,Monitor,Supplier-X,439.0,155,2026-02-09,3441.6
WH-B,Keyboard,Supplier-V,838.0,70,2025-03-09,2269.14
WH-D,Router,Supplier-Z,602.0,226,2025-01-19,877.95
WH-D,Monitor,Supplier-Z,334.0,16,2024-12-09,2101.49
WH-C,Mobile,Supplier-W,566.0,310,2025-08-15,1402.96
WH-D,Keyboard,Supplier-Z,860.0,180,2025-03-09,1029.33
WH-B,Printer,Supplier-W,812.0,148,2024-07-07,1489.66
WH-C,Router,,,352,2024-10-04,
WH-B,Mobile,Supplier-Z,556.0,375,2025-05-10,4726.0
WH-C,Monitor,Supplier-V,235.0,88,2024-12-22,3234.63
WH-B,Monitor,Supplier-Z,478.0,74,2025-08-06,3117.36
WH-C,Keyboard,Supplier-W,949.0,173,2024-08-28,3567.76
WH-D,Monitor,Supplier-W,811.0,67,2025-11-19,1923.44
WH-B,Router,Supplier-Z,345.0,398,2024-08-08,2970.53
WH-B,Tablet,Supplier-V,568.0,262,2024-08-23,4624.8
WH-C,Mouse,Supplier-W,127.0,12,2024-10-25,2062.04
WH-C,Laptop,,,24,2025-07-27,
WH-B,Router,Supplier-W,548.0,310,2025-10-21,1880.67
WH-A,Tablet,Supplier-W,43.0,340,2024-08-19,850.51
WH-C,Keyboard,Supplier-Z,731.0,178,2025-04-04,2115.9
WH-D,Keyboard,Supplier-V,206.0,500,2025-05-19,1647.07
WH-C,Monitor,Supplier-W,609.0,287,2025-03-08,2571.98
WH-D,Printer,Supplier-Y,5.0,40,2025-12-04,4709.56
WH-B,Laptop,Supplier-Y,594.0,173,2025-09-12,2291.46
WH-C,Monitor,Supplier-Y,1.0,45,2024-08-08,3764.91
WH-D,Mobile,Supplier-X,393.0,110,2024-07-11,3574.14
WH-D,Router,Supplier-X,197.0,228,2025-01-30,3579.6
WH-E,Mobile,Supplier-Y,32.0,289,2025-09-25,562.57
WH-B,Router,Supplier-V,309.0,197,2025-01-15,3774.37
WH-C,Monitor,Supplier-W,324.0,462,2026-02-11,4811.28
WH-E,Printer,Supplier-W,597.0,402,2025-06-12,2313.48
WH-E,Tablet,Supplier-Z,645.0,488,2026-06-21,2855.16
WH-A,Tablet,Supplier-W,29.0,456,2025-08-11,4615.67
WH-E,Printer,Supplier-Z,145.0,26,2025-03-22,4472.3
WH-E,Monitor,Supplier-Y,647.0,481,2025-06-20,836.79
WH-B,Monitor,Supplier-Z,708.0,38,2024-11-21,4981.89
WH-D,Printer,Supplier-Y,370.0,236,2025-02-14,2847.05
WH-D,Router,Supplier-W,548.0,164,2025-06-16,3275.02
WH-C,Keyboard,Supplier-V,933.0,159,2025-07-19,1512.78
WH-E,Keyboard,Supplier-Y,631.0,226,2025-11-03,2148.17
WH-B,Router,Supplier-X,668.0,18,2025-06-22,2864.67
WH-A,Keyboard,Supplier-V,617.0,275,2024-12-19,3745.9
WH-C,Monitor,,,17,2024-12-31,
WH-E,Laptop,Supplier-Z,524.0,415,2025-06-25,2967.55
WH-C,Tablet,Supplier-W,587.0,377,2026-05-09,4768.69
WH-E,Monitor,Supplier-X,143.0,29,2024-11-22,870.39
WH-C,Mouse,Supplier-W,750.0,98,2024-11-29,4002.59
WH-E,Tablet,Supplier-W,72.0,275,2024-12-01,2186.96
WH-A,Keyboard,Supplier-X,580.0,141,2025-06-26,1757.45
WH-C,Mouse,Supplier-Y,107.0,462,2024-08-24,2858.42
WH-C,Mouse,Supplier-X,721.0,251,2025-05-01,4968.08
WH-A,Mouse,Supplier-Y,295.0,237,2025-07-08,5118.4
WH-D,Tablet,Supplier-Y,724.0,78,2024-09-11,4833.62
WH-D,Keyboard,Supplier-V,414.0,78,2025-09-15,4067.21
WH-C,Mouse,Supplier-Y,120.0,240,2025-02-02,1214.75
WH-C,Monitor,,,106,2025-12-26,
WH-B,Printer,Supplier-X,447.0,163,2024-08-04,4753.81
WH-E,Printer,Supplier-Y,420.0,26,2026-01-31,4418.52
WH-A,Tablet,Supplier-W,769.0,434,2024-11-01,2814.38
WH-B,Laptop,Supplier-Z,961.0,165,2025-03-16,3945.64
WH-B,Tablet,Supplier-X,28.0,440,2025-04-11,3619.29
WH-D,Laptop,Supplier-Z,461.0,238,2025-02-27,2143.1
WH-B,Printer,Supplier-Z,734.0,127,2024-11-10,5331.96
WH-B,Tablet,Supplier-X,275.0,480,2026-05-01,1295.47
WH-B,Mobile,Supplier-X,61.0,361,2025-12-16,4567.09
WH-A,Keyboard,Supplier-Y,803.0,193,2025-03-10,4890.51
WH-A,Mobile,Supplier-X,179.0,81,2025-07-24,2551.0
WH-E,Tablet,Supplier-W,21.0,189,2026-03-18,3720.02
WH-D,Laptop,Supplier-W,533.0,312,2024-08-06,3669.53
WH-D,Monitor,,,368,2025-02-02,
WH-E,Router,,,278,2025-09-22,
WH-D,Laptop,,,116,2025-05-01,
WH-C,Monitor,,,320,2025-05-28,
WH-B,Keyboard,,,241,2024-07-11,
WH-E,Router,,,382,2026-04-04,
WH-D,Router,,,40,2026-02-05,
WH-E,Monitor,,,299,2025-11-11,
WH-B,Mouse,,,495,2024-10-19,
WH-B,Printer,,,84,2025-11-28,
WH-C,Mobile,,,73,2025-03-16,
WH-C,Router,,,22,2025-04-07,
WH-B,Printer,,,151,2025-07-19,
WH-C,Monitor,,,17,2024-12-31,
WH-C,Router,,,352,2024-10-04,
WH-D,Router,,,124,2026-02-19,
WH-A,Printer,,,273,2026-01-08,
WH-E,Monitor,,,368,2026-06-22,
WH-A,Tablet,,,16,2025-07-11,
WH-C,Mobile,,,333,2026-06-20,
WH-A,Keyboard,,,219,2026-03-02,
WH-A,Laptop,,,170,2025-07-09,
WH-C,Keyboard,,,284,2026-03-24,
WH-C,Monitor,,,342,2024-09-23,
WH-E,Mouse,,,338,2025-07-17,
WH-B,Printer,,,325,2024-10-14,
WH-E,Mobile,,,427,2026-06-11,
WH-C,Monitor,,,106,2025-12-26,
WH-A,Mouse,,,166,2025-12-13,
WH-C,Laptop,,,24,2025-07-27,
WH-A,Mouse,Supplier-Z,1.0,486,2025-12-13,2821.47
WH-D,Keyboard,Supplier-Y,50.0,243,2024-12-06,3381.94
WH-E,Printer,Supplier-Z,571.0,121,2025-04-18,3542.72
WH-C,Tablet,Supplier-X,619.0,34,2025-05-03,4936.87
WH-C,Mouse,Supplier-X,404.0,365,2024-10-21,1687.08
WH-E,Printer,Supplier-X,288.0,31,2026-03-24,1709.34
WH-A,Tablet,Supplier-Y,920.0,105,2025-09-27,4892.32
WH-D,Mobile,Supplier-Y,855.0,180,2025-11-28,1517.1
WH-A,Keyboard,Supplier-W,452.0,50,2025-05-14,2873.32
WH-E,Tablet,Supplier-V,720.0,67,2025-08-21,2453.16
WH-B,Mouse,Supplier-X,693.0,126,2026-03-09,2762.18
WH-B,Laptop,Supplier-Z,792.0,296,2025-01-01,1393.14
WH-A,Mobile,Supplier-X,475.0,316,2025-01-24,4239.73
WH-E,Laptop,Supplier-Z,524.0,415,2025-06-25,2967.55
WH-A,Mouse,Supplier-Z,549.0,351,2026-06-28,3549.52
WH-C,Mouse,Supplier-X,713.0,401,2026-04-29,4194.76
WH-A,Router,Supplier-Y,995.0,12,2026-05-21,4470.83
WH-D,Keyboard,Supplier-Z,321.0,253,2024-07-26,4157.35
WH-E,Tablet,Supplier-Y,677.0,294,2025-03-20,3716.25
WH-D,Printer,Supplier-V,735.0,130,2024-12-26,1668.77
